RESULT_COUNT: 3852,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
OWNER_CIK,OWNER_NAME,FILING_DATE,FILING_URL,DIRECTOR,OFFICER,TEN_PERCENT_OWNER,OTHER_RELATION,OFFICER_TITLE,DERIVATIVE_TRANSACTION,SECURITY_TITLE,CONVERSION_EXERCISE_PRICE,TRANSACTION_DATE,DEEMED_EXECUTION_DATE,TRANSACTION_TYPE_CODE,ACQUISITION_DISPOSITION_CODE,AMOUNT_OF_SHARES,EXERCISE_DATE,EXPIRATION_DATE,UNDERLYING_SECURITY_TITLE,UNDERLYING_SHARES,TRANSACTION_PRICE,TOTAL_SHARES_OWNED,OWNERSHIP_TYPE_CODE,REPORT_LINE_NUMBER
0001238404,CACERES R LOUIS,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013218/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,2017-03-28,,F,D,369.0,,,,,40.26,647.0,D,1
0001238404,CACERES R LOUIS,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013218/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,18182.949,D,2
0001238404,CACERES R LOUIS,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013218/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,2405.0,D,3
0001238404,CACERES R LOUIS,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013218/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,2933.0,D,4
0001238404,CACERES R LOUIS,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013218/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,3805.0,D,5
0001238404,CACERES R LOUIS,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013218/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,3551.0,D,6
0001238404,CACERES R LOUIS,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013218/xslF345X03/form4.xml,,true,,,Executive Vice President of Bk,false,Common Stock,,,,,,,,,,,,2795.0,D,7
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,2017-03-28,,F,D,239.0,,,,,40.26,502.0,D,1
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,17783.7138,D,2
0001238410,KUYKENDALL RONALD E,2017-03-30,https://www.sec.gov/Archives/edgar/data/824410/000112760217013217/xslF345X03/form4.xml,,true,,,"EVP, General Counsel & Sec",false,Common Stock,,,,,,,,,,,,5507.477,I,3
